Volcanoes of the World 4.3.0,,Downloaded on 13 Jul 2014 at 11:45 PM,,,
Volcano Number,Volcano Name,Author,Publication Year,Title,Source
210030,Olot Volcanic Field,Mallarach J M,1993,,(pers. comm.)
210030,Olot Volcanic Field,Marti J,2007,,(pers. comm.)
210040,Calatrava Volcanic Field,"Gonzalez Cardenas E, Gosalvez Rey R U, Escobar Lahoz E, Becerra Ramirez R",2007,"Condiciones medioambientales en el Holoceno medio del Campo de Calatrava (Ciudad Real, Espana): resultados preliminares","Actas Cong Nac Biogeogr, in press"
210040,Calatrava Volcanic Field,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
210040,Calatrava Volcanic Field,"Lopez-Ruiz J, Maria Cebria J, Doblas M",2002,Cenozoic volcanism I: the Iberian peninsula,"In: Gibbons W, Moreno T (eds) {The Geology of Spain}, Geol Soc London, 649 p"
211001,Larderello,"Bellani S, Brogi A, Lazzarotto A, Liotta D, Ranalli G",2004,"Heat flow, deep temperatures and extensional structures in the Larderello geothermal field (Italy): constraints on geothermal fluid flow","J Volc Geotherm Res, 132: 15-29"
211001,Larderello,"Boyce A J, Fulignati P, Sbrana A",2003,"Deep hydrothermal circulation in a granite intrusion beneath Larderello geothermal area (Italy): constraints from mineralogy, fluid inclusions and stable isotopes","J Volc Geotherm Res, 126: 243-262"
211001,Larderello,Katsui Y (ed),1971,List of the World Active Volcanoes,"Volc Soc Japan draft ms, (limited circulation), 160 p"
211001,Larderello,Keller W D,1946,"The natural steam at Larderello, Italy","J Geol, 54: 327-334"
211001,Larderello,Krafft M,1974,Guide des Volcans d'Europe,"Neuchatel: Delachaux & Niestle, 412 p"
211001,Larderello,Marinelli G,1969,Some geological data on the geothermal areas of Tuscany,"Bull Volc, 33: 319-333"
211001,Larderello,"Petrucci E, Sheppard S M F, Turi B",1993,"Water/rock interaction in the Larderello geothermal field (southern Tuscany, Italy): an 18O/16O and D/H isotope study","J Volc Geotherm Res, 59: 145-160"
211001,Larderello,"Ruggieri G, Gianelli G",1999,Multi-stage fluid circulation in a hydraulic fracture breccia of the Larderello geothermal field (Italy),"J Volc Geotherm Res, 90: 241-261"
211001,Larderello,"Villa I M, Riggieri G, Puxeddu M, Bertini G",2006,Geochronology and isotope transport systematics in a subsurface granite from the Larderello-Travale geothermal system (Italy),"J Volc Geotherm Res, 152: 20-50"
211003,Vulsini,"Barberi F, Innocenti F, Landi P, Rossi U, Saitta M, Santacroce R, Villa I M",1984,The evolution of Latera caldera (Central Italy) in the light of subsurface data,"Bull Volc, 47: 125-143"
211003,Vulsini,"Capaccioni B, Nappi G, Renzulli A",1994,"Stratigraphy, eruptive mechanisms and depositional processes of the Pitigliano Formation (Latera volcanic complex), Vulsini District, Italy","Acta Vulc, 5: 31-39"
211003,Vulsini,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
211003,Vulsini,"Nappi G, Capaccioni B, Mattioli M, Mancini E, Valentini L",1994,Plinian fall deposits from Vulsini District (Central Italy),"Bull Volc, 56: 502-515"
211003,Vulsini,"Palladino D M, Agosta E",1997,Pumice fall deposits of the western Vulsini volcanoes (central Italy),"J Volc Geotherm Res, 78: 77-102"
211003,Vulsini,"Palladino D M, Simei S",2002,"Three types of pyroclastic currents and their deposits: examples from the Vulsini Volcanoes, Italy","J Volc Geotherm Res, 116: 97-118"
211003,Vulsini,"Palladino D M, Simei S",2005,"Eruptive dynamics and caldera collapse during the Onano eruption, Vulsini, Italy","Bull Volc, 67: 423-440"
211003,Vulsini,"Palladino D M, Valentine G A",1995,"Coarse-tail vertical and lateral grading in pyroclastic flow deposits of the Latera volcanic complex (Vulsini, central Italy): origin and implications for flow dynamics","J Volc Geotherm Res, 69: 343-364"
211003,Vulsini,Sparks R S J,1975,"Stratigraphy and geology of the ignimbrites of Vulsini volcano, central Italy","Geol Rundschau, 64: 497-523"
211003,Vulsini,"Stothers R B, Rampino M R",1983,Volcanic eruptions in the Mediterranean before AD 630 from written and archaeological sources,"J Geophys Res, 88: 6357-6371"
211003,Vulsini,Varekamp J C,1980,"The geology of the Vulsinian area, Lazio, Italy","Bull Volc, 43: 487-504"
211004,Alban Hills,"Amato A, Chiarabba C, Cocco M, di Bona M, Selvaggi G",1994,"The 1989-1990 seismic swarm in the Alban Hills volcanic area, central Italy","J Volc Geotherm Res, 61: 225-237"
211004,Alban Hills,"Anzidei M, Baldi P, Casula G, Galvani A, Riguzzi F, Zanutta A",1998,Evidence of active crustal deformation of the Colli Albani volcanic area (central Italy) by GPS surveys,"J Volc Geotherm Res, 80: 55-65"
211004,Alban Hills,"Anzidei M, Carapezza M L, Esposito A, Giordano G, Lelli M, Tarchini L",2008,"The Albano Maar Lake high resolution bathymetry and dissolved CO budget (Colli Albani volcano, Italy): constraints to hazard evaluation","J Volc Geotherm Res, 171: 258-268"
211004,Alban Hills,Blanc A C,1953,Excursion au Mont Circe,"Internatl Quat Assoc (INQUA) Guidebook, p 5-19"
211004,Alban Hills,"Boari E, Avanzinelli R, Melluso L, Giordano G, Mattei M, De Benedetti A A,  Morra V, Conticelli S",2009,"Isotope geochemistry (Sr-Nd-Pb) and petrogenesis of leucite-bearing volcanic rocks from ""Colli Albani"" volcano, Roman Magmatic Province, Central Italy: inferences on volcano evolution and magma genesis","Bull Volc, 71: 977-1005"
211004,Alban Hills,"Chiarabba C, Amato A, Delaney P T",1997,"Crustal structure, evolution, and volcanic unrest of the Alban Hills, central Italy","Bull Volc, 59: 161-170"
211004,Alban Hills,"De Benedetti A A, Funiciello R, Giodano G, Diano G, Caprilli E, Paterne M",2008,"Volcanology, history and myths of the Lake Albano maar (Colli Albani volcano, Italy)","J Volc Geotherm Res, 176: 387-406"
211004,Alban Hills,"De Rita D, Funiciello R, Rosa C",1991,"Volcanic activity and drainage network evolution of the Alban Hills area (Rome, Italy)","Acta Vulc, 2: 185-198"
211004,Alban Hills,"De Rita D, Giordano G, Esposito A, Fabbri M, Rodani S",2002,"Large volume phreatomagmatic ignimbrites from the Colli Albani volcano (Middle Pleistocene, Italy)","J Volc Geotherm Res, 118: 77-98"
211004,Alban Hills,"Freda C, Gaeta M, Karner D B, Marra F, Renne P R, Taddeucci J, Scarlato P, Christensen J N, Dallai L",2006,"Eruptive history and petrologic evolution of the Albano multiple maar (Alban Hills, Central Italy)","Bull Volc, 68: 567-591"
211004,Alban Hills,"Freda C, Gaeta M, Palladino D M, Trigila R",1997,"The Villa Senni eruption (Alban Hills, central Italy: the role of H20 and CO2 on the magma chamber evolution and on the eruptive scenario","J Volc Geotherm Res, 78: 103-120"
211004,Alban Hills,"Funiciello R, Giodano G, De Rita D",2003,"The Albano maar lake (Colli Albani volcano, Italy): recent volcanic activity and evidence of pre-Roman age catastrophic lahar events","J Volc Geotherm Res, 123: 43-61"
211004,Alban Hills,"Giaccio B, Marra F, Hajdas I, Karner D B, Renne P R, Sposato A",2009,"40Ar/39Ar and 14C geochronology of the Albano maar deposits: implications for defining the age and eruptive style of the most recent explosive activity at Colli Albani volcanic district, Central Italy","J Volc Geotherm Res, 185: 203-213"
211004,Alban Hills,"Giordano G, De Benedetti A A, Diana A, Diano G, Gaudioso F, Marasco F, Miceli M, Mollo S, Cas R A F, Funiciello R",2006,"The Colli Albani mafic caldera (Roma, Italy): stratigraphy, structure and petrology","J Volc Geotherm Res, 155: 49-80"
211004,Alban Hills,"Giordano G, De Rita D, Cas R, Rodani S",2002,"Valley pond and ignimbrite veneer deposits in the small-volume phreatomagmatic `Peperino Albano' basic ignimbrite, Lago Albano maar, Colli Albani volcano, Italy: influence of topography","J Volc Geotherm Res, 118: 131-144"
211004,Alban Hills,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
211004,Alban Hills,"Karner D B, Marra F, Renne P R",2001,The history of the Monti Sabatini and Alban Hills volcanoes: groundwork for assessing volcanic-tectonic hazards for Rome,"J Volc Geotherm Res, 107: 185-219"
211004,Alban Hills,Krafft M,1974,Guide des Volcans d'Europe,"Neuchatel: Delachaux & Niestle, 412 p"
211004,Alban Hills,"Krafft M, Dominique de Larouziere F",1991,Guide des Volcans d'Europe et des Canaries,"Lausanne, Switzerland: Delachaux and Niestle, 455 p"
211004,Alban Hills,"Marra F, Freda C, Scarlato P, Taddeucci J, Karner D B, Renne P R, Gaeta M, Palladino D M, Trigila R, Cavarretta G",2003,Post-caldera activity in the Alban Hills volcanic district (Italy): 40Ar/39Ar geochronology and insights into magma evolution,"Bull Volc, 65: 227-247"
211004,Alban Hills,"Marra F, Karner D B, Freda C, Gaeta M, Renne P",2009,"Large mafic eruptions at Alban Hills volcanic district (Central Italy): chronostratigraphy, petrography and eruptive behavior","J Volc Geotherm Res, 179: 217-232"
211004,Alban Hills,"Newhall C G, Dzurisin D",1988,Historical unrest at large calderas of the world,"U S Geol Surv Bull, 1855: 1108 p, 2 vol"
211004,Alban Hills,"Palladino D M, Gaeta M, Marra F",2001,"A large K-foiditic hydromagmatic eruption from the early activity of the Alban Hills volcanic district, Italy","Bull Volc, 63: 345-359"
211004,Alban Hills,"Peccerillo A, Poli G, Tolomeo L",1984,"Genesis, evolution and tectonic significance of K-rich volcanics from the Alban Hills (Roman comagmatic region) as inferred from trace element geochemistry","Contr Mineral Petr, 86: 230-240"
211004,Alban Hills,"Porreca M, Mattei M, MacNiocaill C, Giordano G, McClelland E, Funiciello R",2008,"Palemagnetic evidence for low-temperature emplacement of the phreatomagmatic Peperino Albano ignimbrite (Colli Albani volcano, Central Italy)","Bull Volc, 70: 877-893"
211004,Alban Hills,Scandone R,1987,,(pers. comm.)
211004,Alban Hills,"Stothers R B, Rampino M R",1983,Volcanic eruptions in the Mediterranean before AD 630 from written and archaeological sources,"J Geophys Res, 88: 6357-6371"
211004,Alban Hills,"Villa I M, Calanchi N, Dinelli E, Lucchini F",1999,Age and evolution of the Albano crater lake (Roman Volcanic Province),"Acta Vulc, 11: 305-310"
211004,Alban Hills,"Watkins S D, Giordano G, Cas R A F, De Rita D",2002,"Emplacement processes of the mafic Villa Senni Eruption Unit (VSEU) ignimbrite succession, Colli Albani volcano, Italy","J Volc Geotherm Res, 118: 173-203"
211010,Campi Flegrei,"Armienti P, Barberi F, Bizouard H, Clocchiatti R, Innocenti F, Metrich N, Rosi M, Sbrana A",1983,The Phlegrean Fields: magma evolution within a shallow chamber,"J Volc Geotherm Res, 17: 289-311"
211010,Campi Flegrei,Bruno P P,2004,Structure and evolution of the Bay of Pozzuoli (Italy) using marine seismic relflection data: implications for collapse of the Campi Flegrei caldera.,"Bull Volc, 66: 342-355"
211010,Campi Flegrei,"Costa  A, Dell'Erba F, Di Vito M A, Isaia R, Macedonio G, Orsi G, Pfeiffer T",2009,Tephra fallout hazard assessment at the Campi Flegrei caldera (Italy),"Bull Volc, 71: 259-273"
211010,Campi Flegrei,"Cubellis E, Ferri M, Luongo G",1995,Internal structures of the Campi Flegrei caldera by gravimetric data,"J Volc Geotherm Res, 65: 147-156"
211010,Campi Flegrei,"D'Oriano C, Poggianti E, Bertagnini A, Cioni R, Landi P, Polacci M, Rosi M",2005,"Changes in eruptive style during the A.D. 1538 Monte Nuovo eruption (Phlegrean Fields, Italy): the role of syn-eruptive crystallization",Bull Volc 67: 601-621
211010,Campi Flegrei,"Deino A L, Orsi G, de Vita S, Piochi M",2004,The age of the Neapolitan Yellow Tuff caldera-forming eruption (Campi Flegrei caldera - Italy) assessed by 40Ar/39Ar dating method,"J Volc Geotherm Res, 133: 157-170"
211010,Campi Flegrei,"Dellino P, Isaia R, La Volpe L, Orsi G",2001,"Statistical analysis of textural data from complex pyroclastic sequences: implications for fragmentation processes of the Agnano-Monte Spine Tephra (4.1 ka), Phlegrean Fields, southern Italy","Bull Volc, 63: 443-461"
211010,Campi Flegrei,"Dellino P, Isaia R, La Volpe L, Orsi G",2004,"Interaction between particles transported by fallout and surge in the deposits of the Agnano-Monte Spina eruption (Campi Flegrei, southern Italy)","J Volc Geotherm Res, 133: 193-210"
211010,Campi Flegrei,"Di Girolamo P, Ghiara M R, Lirer L, Munno R, Rolandi G, Stanzione D",1984,Vulcanologia e petrologia dei Campi Flegrei,"Bol Soc Geol Italia, 103: 394-413"
211010,Campi Flegrei,"Di Vito M A, Isaia R, Orsi G, Southon J, de Vita S, D'Antonio M D, Pappalardo L, Piochi M",1999,"Volcanism and deformation since 12,000 years at the Campi Flegrei caldera (Italy)","J Volc Geotherm Res, 91: 221-246"
211010,Campi Flegrei,"Di Vito M A, Sulpizio R, Zanchetta G, D'Orazio M",2008,The late Pleistocene pyroclastic deposits of the Campanian Plain:  new insights into the explosive activity of Neapolitan volcanoes,"J Volc Geotherm Res, 177: 19-48"
211010,Campi Flegrei,"Fedele L, Scarpati C, Lanphere M, Melluso L, Morra V, Perrotta A, Ricci G",2008,"The Breccia Museo formation, Campi Flegrei, southern Italy: geochronology, chemostratigraphy and relationship with the Campanian Ignimbrite eruption","Bull Volc, 70: 1189-1219"
211010,Campi Flegrei,"Fisher R V, Orsi G, Ort M, Heiken G",1993,"Mobility of a large-volume pyroclastic flow - emplacement of the Campanian ignimbrite, Italy","J Volc Geotherm Res, 56: 205-220"
211010,Campi Flegrei,"Fulignati P, Marianelli P, Proto M, Sbrana A",2004,"Evidences for disruption of a crystallizing front in a magma chamber during caldera collapse: an example from the Breccia Museo (Campanian Ignimbrite eruption, Italy)","J Volc Geotherm Res, 133: 141-155"
211010,Campi Flegrei,Grindley G W,1976,"Relation of volcanism to earth movements, Bay of Naples, Italy","In: Gonzalez-Ferran O (ed) {Proc Symp Andean & Antarctic Volcanology Problems (Santiago, Chile, Sept 1974)}, Rome: IAVCEI, p 598-612"
211010,Campi Flegrei,Imbo G,1965,Italy,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 18: 1-72"
211010,Campi Flegrei,"Isaia R, D'Antonio M, Dell'Erba F, Di Vito M, Orsi G",2004,The Astroni volcano: the only example of closely spaced eruptions in the same vent area during the recent history of the Campi Flegrei caldera (Italy),"J Volc Geotherm Res, 133: 171-192"
211010,Campi Flegrei,Katsui Y (ed),1971,List of the World Active Volcanoes,"Volc Soc Japan draft ms, (limited circulation), 160 p"
211010,Campi Flegrei,"Lirer L, Luongo G, Scandone R",1987,On the volcanological evolution of Campi Flegrei,"Eos, Trans Amer Geophys Union, 68: 226-227, 229, 231, 233-234"
211010,Campi Flegrei,"Lirer L, Petrosino P, Alberico I",2001,Hazard assessment at volcanic fields: the Campi Flegrei case history,"J Volc Geotherm Res, 112: 53-73"
211010,Campi Flegrei,"Melluso L, Morra V, Perrotta A, Scarpati C, Adabbo M",1995,"The eruption of The Breccia Museo (Campi Flegrei, Italy): fractional crystallization processes in a shallow, zoned magma chamber and implications for the eruptive dynamics","J Volc Geotherm Res, 68: 325-339"
211010,Campi Flegrei,"Orsi G, Civetta L, D'Antonio M D, Di Girolamo P, Piochi M",1995,Step-filling and development of a three-layer magma chamber: the Neapolitan Yellow Tuff case history,"J Volc Geotherm Res, 67: 291-312"
211010,Campi Flegrei,"Orsi G, D'Antonio M, de Vita S, Gallo G",1992,"The Neapolitan Yellow Tuff, a large-magnitude trachytic phreatoplinian eruption: eruptive dynamics, magma withdrawal and caldera collapse","J Volc Geotherm Res, 53: 275-287"
211010,Campi Flegrei,"Orsi G, De Vita S, di Vito M",1996,"The restless, resurgent Campi Flegrei nested caldera (Italy): constraints on its evolution and configuration","J Volc Geotherm Res, 74: 179-214"
211010,Campi Flegrei,"Orsi G, Di Vito M A, Isaia R",2004,Volcanic hazard assessment at the restless Campi Flegrei caldera,"Bull Volc, 66: 514-530"
211010,Campi Flegrei,Peccerillo A,2005,Plio-Quaternary Volcanism in Italy,"Berlin: Springer, 365 p"
211010,Campi Flegrei,"Perrotta A, Scarpati C",1994,"The dynamics of the Breccia Museo eruption (Campi Flegrei, Italy) and the significance of spatter clasts associated with lithic breccias","J Volc Geotherm Res, 59: 335-355"
211010,Campi Flegrei,"Rosi M, Sbrana A",1987,"Consiglio Nazionale delle Ricerche Quaderni de ""la Ricerca Scientifica""","CNR Progetto Finalizzato Geodinamica, Rome, v 9"
211010,Campi Flegrei,"Rosi M, Sbrana A, Principe C",1983,"The Phlegrean Fields: structural evolution, volcanic history and eruptive mechanisms","J Volc Geotherm Res, 17: 273-288"
211010,Campi Flegrei,"Rosi M, Vezzoli L, Aleotti P, De Censi M",1996,"Interaction between caldera collapse and eruptive dynamics during the Campanian Ignimbrite eruption, Phelegraean Fields, Italy","Bull Volc, 57: 541-554"
211010,Campi Flegrei,"Rosi M, Vezzoli L, Castelmenzano A, Grieco G",1999,"Plinian pumice fall deposit of the Campanian Ignimbrite eruption (Phlegraean Fields, Italy)","J Volc Geotherm Res, 91: 179-198"
211010,Campi Flegrei,Scandone R,1987,,(pers. comm.)
211010,Campi Flegrei,"Scandone R, D'Amato J, Giacomelli L",2010,The relevance of the 1198 eruption of Solfatara in the Phlegraean Fields (Campi Flegrei) as revealed by medieval manuscripts and historical sources,"J Volc Geotherm Res, 189: 202-206"
211010,Campi Flegrei,"Valentini L, Capaccioni B, Rossi P L, Scandone R, Sarocchi D",2008,"Vent area and depositional mechanism of the Upper Member of the Neapolitan Yellow Tuff (Campi Flegrei, Italy): new insights from directional fabric through image analysis","Bull Volc, 70: 1087-1101"
211010,Campi Flegrei,"Wohletz K, Orsi G, de Vita S",1995,"Eruptive mechanisms of the Neapolitan Yellow Tuff interpreted from stratigraphic, chemical, and granulometric data","J Volc Geotherm Res, 67: 263-290"
211020,Vesuvius,"Alfano G B, Friedlander I",1929,La Storia del Vesuvio,"Naples: K Holm, 71 p, 107 plates"
211020,Vesuvius,"Andronico D, Cioni R",2002,"Contrasting styles of Mount Vesuvius activity in the period between the Avellino and Pompeii plinian eruptions, and some implications for assessment of future hazards","Bull Volc, 64: 372-391"
211020,Vesuvius,"Arrighi S, Principe C, Rosi M",2001,Violent strombolian and subplinian eruptions at Vesuvius during post-1631 activity,"Bull Volc, 63: 126-150"
211020,Vesuvius,"Bertagnini A, Landi P, Rosi M, Vigliargio A",1998,The Pomici de Base plinian eruption of Somma-Vesuvius,"J Volc Geotherm Res, 83: 219-239"
211020,Vesuvius,"Bruno P P G, Rapolla A",1999,Study of the sub-surface structure of Somma-Vesuvius (Italy) by seismic reflection data,"J Volc Geotherm Res, 92: 373-387"
211020,Vesuvius,Bullard F M,1976,Volcanoes of the Earth,"Austin: Univ Texas Press, 579 p"
211020,Vesuvius,"Cioni R, Santacroce R, Sbrana A",1999,Pyroclastic deposits as a guide for reconstructing the multi-stage evolution of the Somma-Vesuvius caldera,"Bull Volc, 61: 207-222"
211020,Vesuvius,"Cioni R, Sulpizo R, Garruccio N",2003,Variability of the eruption dynamics during a subplinian event: the Greenish Pumice eruption of Somma-Vesuvius (Italy),"J Volc Geotherm Res, 124: 89-114"
211020,Vesuvius,"Civetta L, Santacroce R",1991,Steady state magma supply in the last 3400 years of Vesuvius activity,"Acta Vulc, 2: 147-159"
211020,Vesuvius,"Delibrias G, Di Paola G M, Rosi M, Santacroce R",1979,La storia eruttiva del complesso vulcanico Somma Vesuvio ricostruita dalle successioni piroclastiche del Monte Somma,"Rendiconti Soc Italiana Min Petr, 35: 411-438"
211020,Vesuvius,"Di Vito M A, Sulpizio R, Zanchetta G, D'Orazio M",2008,The late Pleistocene pyroclastic deposits of the Campanian Plain:  new insights into the explosive activity of Neapolitan volcanoes,"J Volc Geotherm Res, 177: 19-48"
211020,Vesuvius,"Fulignati P, Marinelli P, Metrich N, Santacroce R, Sbrana A",2004,Towards a reconstruction of the magmatic feeding system of the 1944 eruption of Mt Vesuvius,"J Volc Geotherm Res, 133: 13-22"
211020,Vesuvius,"Green J, Short N M",1971,Volcanic Landforms and Surface Features: a Photographic Atlas and Glossary,"New York: Springer-Verlag, 519 p"
211020,Vesuvius,"Gurioli L, Houghton B R, Cashman K V, Cioni R",2005,Complex changes in eruptive dynamics during the 79 AD eruption of Vesuvius,"Bull Volc, 67: 144-159"
211020,Vesuvius,"Gurioli L, Sulpizio R, Cioni R, Sbrana A, Santacroce R, Luperini W, Andronico D",2010,Pyroclastic flow hazard assessment at Somma-Vesuvius based on the geological record,"Bull Volc, 72: 1021-1038"
211020,Vesuvius,Imbo G,1965,Italy,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 18: 1-72"
211020,Vesuvius,Katsui Y (ed),1971,List of the World Active Volcanoes,"Volc Soc Japan draft ms, (limited circulation), 160 p"
211020,Vesuvius,"Lirer L, Munno R, Postiglione I, Vinci A, Vitelli L",1997,The A.D. 79 eruption as a future explosive scenario in the Vesuvian area: evaluation of associated risk,"Bull Volc, 59: 112-124"
211020,Vesuvius,"Lirer L, Petrosino P, Alberico I, Postiglione I",2001,Long-term volcanic hazard forecasts based on Somma-Vesuvio past eruptive activity,"Bull Volc, 63: 45-60"
211020,Vesuvius,"Marianelli P, Metrich N, Sbrana A",1999,Shallow and deep reservoirs involved in magma supply of the 1944 eruption of Vesuvius,"Bull Volc, 61: 48-63"
211020,Vesuvius,"Mastrolorenzo G, Petrone P, Pappalardo L, Sheridan M F",2006,The Avellino 3780-yr-B.P. catastrophe as a worst-case scenario for a future eruption at Vesuvius,"Proc Nat Acad Sci, 103: 4366-4370"
211020,Vesuvius,"Milia A, Mirabile L, Torrente M M, Dvorak J J",1998,Volcanism offshore of Vesuvius volcano in Naples Bay,"Bull Volc, 59: 404-413"
211020,Vesuvius,Peccerillo A,2005,Plio-Quaternary Volcanism in Italy,"Berlin: Springer, 365 p"
211020,Vesuvius,"Perrotta A, Scarpati C, Luongo G, Aoyagi M",2006,Burial of Emperor Augustus' villa at Somma Vesuviana (Italy) by post-79 AD Vesuvius eruptions and reworked (lahars and stream flow) deposits,"J Volc Geotherm Res, 158: 445-466"
211020,Vesuvius,"Principe C, Marini L",2008,Evolution of the Vesuvius magmatic-hydrothermal system before the 16 December 1631 eruption,"J Volc Geotherm Res, 171: 311-306"
211020,Vesuvius,"Principe C, Tanguy J-C, Arrighi S, Paiotti A, Le Goff M, Zoppi U",2004,Chronology of Vesuvius' activity from A.D. 79 to 1631 based on archaeomagnetism of lavas and historical sources,"Bull Volc, 66: 703-724"
211020,Vesuvius,"Rolandi G, Munno R, Postiglione I",2004,The A.D. 472 eruption of the Somma volcano,"J Volc Geotherm Res, 129: 291-319"
211020,Vesuvius,"Rolandi G, Paone A, De Lascio M, Stefani G",2008,The 79 AD eruption of Somma: the relationship between the date of the eruption and the southeast tephra dispersion,"J Volc Geotherm Res, 169: 87-98"
211020,Vesuvius,"Rolandi G, Petrosino P, McGeehin J",1998,The interplinian activity at Somma-Vesuvius in the last 3500 years,"J Volc Geotherm Res, 82: 19-52"
211020,Vesuvius,"Rosi M, Santacroce R, Sbrana A",1987,Geological Map of Somma-Vesuvius Volcanic Complex,"CNR Progetto Finalizzato Geodinamica, Rome"
